Id,TaskId,ProjectId,UserId,UserDiscipline,ProjectRule,TSDate,TSHour,Adjustments,AutoLoad
151155,4608,PRO-139-PRIMAL GYM,274,Architecture,Member,5/17/2022,8,0,6/13/2022 13:58
151156,4608,PRO-139-PRIMAL GYM,221,Architecture,Member,5/31/2022,8,0,6/13/2022 13:58
151157,4606,PRO-139-PRIMAL GYM,208,Architecture,Member,6/2/2022,8,0,6/13/2022 13:58
151158,4606,PRO-139-PRIMAL GYM,208,Architecture,Member,6/3/2022,8,0,6/13/2022 13:58
151159,4606,PRO-139-PRIMAL GYM,208,Architecture,Member,6/6/2022,8,0,6/13/2022 13:58
151160,4606,PRO-139-PRIMAL GYM,208,Architecture,Member,6/7/2022,8,0,6/13/2022 13:58
151161,4606,PRO-139-PRIMAL GYM,208,Architecture,Member,6/8/2022,10.5,0,6/13/2022 13:58
151162,4606,PRO-139-PRIMAL GYM,208,Architecture,Member,6/9/2022,8,0,6/13/2022 13:58
151163,4606,PRO-139-PRIMAL GYM,208,Architecture,Member,6/10/2022,9.5,0,6/14/2022 10:47
151164,4607,PRO-139-PRIMAL GYM,221,Architecture,Member,6/6/2022,9.5,0,6/13/2022 13:58
151165,4607,PRO-139-PRIMAL GYM,221,Architecture,Member,6/7/2022,9,0,6/13/2022 13:58
151166,4607,PRO-139-PRIMAL GYM,221,Architecture,Member,6/8/2022,10,0,6/13/2022 13:58
151167,4607,PRO-139-PRIMAL GYM,221,Architecture,Member,6/9/2022,8,0,6/13/2022 13:58
151168,4607,PRO-139-PRIMAL GYM,221,Architecture,Member,6/10/2022,10,0,6/13/2022 13:58
151169,4608,PRO-139-PRIMAL GYM,221,Architecture,Member,6/1/2022,8,0,6/13/2022 13:58
151170,4608,PRO-139-PRIMAL GYM,221,Architecture,Member,6/2/2022,8,0,6/13/2022 13:58
151171,4608,PRO-139-PRIMAL GYM,221,Architecture,Member,6/3/2022,8,0,6/13/2022 13:58
151172,4608,PRO-139-PRIMAL GYM,258,Architecture,Member,6/1/2022,8,0,6/13/2022 13:58
151173,4608,PRO-139-PRIMAL GYM,258,Architecture,Member,6/2/2022,8,0,6/13/2022 13:58
151174,4608,PRO-139-PRIMAL GYM,258,Architecture,Member,6/3/2022,8,0,6/13/2022 13:58
151175,4608,PRO-139-PRIMAL GYM,258,Architecture,Member,6/6/2022,11,0,6/13/2022 13:58
151176,4608,PRO-139-PRIMAL GYM,258,Architecture,Member,6/8/2022,11,0,6/27/2022 10:36
151177,4608,PRO-139-PRIMAL GYM,258,Architecture,Member,6/9/2022,8,0,6/13/2022 13:58
151178,4608,PRO-139-PRIMAL GYM,258,Architecture,Member,6/10/2022,8,0,6/13/2022 13:58
151179,4607,PRO-139-PRIMAL GYM,257,Architecture,Member,6/2/2022,8,0,6/13/2022 13:58
151180,4607,PRO-139-PRIMAL GYM,257,Architecture,Member,6/3/2022,8,0,6/13/2022 13:58
151181,4607,PRO-139-PRIMAL GYM,257,Architecture,Member,6/7/2022,8,0,6/13/2022 13:58
151182,4607,PRO-139-PRIMAL GYM,257,Architecture,Member,6/8/2022,8,0,6/13/2022 13:58
151183,4607,PRO-139-PRIMAL GYM,257,Architecture,Member,6/9/2022,8,0,6/13/2022 13:58
151184,4607,PRO-139-PRIMAL GYM,257,Architecture,Member,6/10/2022,8,0,6/13/2022 13:58
151185,4608,PRO-139-PRIMAL GYM,191,Architecture,Member,6/1/2022,6,0,6/13/2022 13:58
151186,4608,PRO-139-PRIMAL GYM,191,Architecture,Member,6/2/2022,8,0,6/13/2022 13:58
151187,4608,PRO-139-PRIMAL GYM,191,Architecture,Member,6/3/2022,8,0,6/13/2022 13:58
151188,4608,PRO-139-PRIMAL GYM,109,Architecture,Member,6/2/2022,8,0,6/13/2022 13:58
151189,4608,PRO-139-PRIMAL GYM,234,Architecture,Member,6/2/2022,8,0,6/13/2022 13:58
151190,4608,PRO-139-PRIMAL GYM,234,Architecture,Member,6/3/2022,8,0,6/13/2022 13:58
151191,4608,PRO-139-PRIMAL GYM,234,Architecture,Member,6/6/2022,8,0,6/13/2022 13:58
151192,4608,PRO-139-PRIMAL GYM,234,Architecture,Member,6/7/2022,8,0,6/13/2022 13:58
151193,4608,PRO-139-PRIMAL GYM,234,Architecture,Member,6/8/2022,8,0,6/13/2022 13:58
151194,4606,PRO-139-PRIMAL GYM,247,Architecture,Member,6/2/2022,8,0,6/13/2022 13:58
151195,4608,PRO-139-PRIMAL GYM,247,Architecture,Member,6/3/2022,8,0,6/13/2022 13:58
151196,4606,PRO-139-PRIMAL GYM,176,Architecture,Member,6/3/2022,8,0,6/13/2022 13:58
151197,4607,PRO-139-PRIMAL GYM,176,Architecture,Member,6/6/2022,9,0,6/13/2022 13:58
151198,4608,PRO-139-PRIMAL GYM,240,Architecture,Member,6/3/2022,8,0,6/13/2022 13:58
151199,4608,PRO-139-PRIMAL GYM,240,Architecture,Member,6/6/2022,8,0,6/13/2022 13:58
151200,4608,PRO-139-PRIMAL GYM,240,Architecture,Member,6/7/2022,8,0,6/13/2022 13:58
151201,4607,PRO-139-PRIMAL GYM,232,Architecture,Member,6/2/2022,8,0,6/13/2022 13:58
151202,4607,PRO-139-PRIMAL GYM,232,Architecture,Member,6/3/2022,4,0,6/13/2022 13:58
151203,4607,PRO-139-PRIMAL GYM,232,Architecture,Member,6/6/2022,8,0,6/13/2022 13:58
151204,4607,PRO-139-PRIMAL GYM,232,Architecture,Member,6/7/2022,8,0,6/13/2022 13:58
151205,4607,PRO-139-PRIMAL GYM,232,Architecture,Member,6/8/2022,11,0,6/13/2022 13:58
151206,4607,PRO-139-PRIMAL GYM,228,MEP,Member,6/7/2022,8,0,6/13/2022 13:58
151207,4607,PRO-139-PRIMAL GYM,228,MEP,Member,6/8/2022,4,0,6/13/2022 13:58
151208,4608,PRO-139-PRIMAL GYM,228,MEP,Member,6/8/2022,6,0,6/13/2022 13:58
151209,4607,PRO-139-PRIMAL GYM,225,MEP,Member,6/7/2022,4,0,6/13/2022 13:58
151210,4607,PRO-139-PRIMAL GYM,225,MEP,Member,6/8/2022,4,0,6/13/2022 13:58
151211,4607,PRO-139-PRIMAL GYM,225,MEP,Member,6/9/2022,4,0,6/13/2022 13:58
151212,4608,PRO-139-PRIMAL GYM,225,MEP,Member,6/7/2022,4,0,6/13/2022 13:58
151213,4608,PRO-139-PRIMAL GYM,225,MEP,Member,6/8/2022,4,0,6/13/2022 13:58
151214,4608,PRO-139-PRIMAL GYM,225,MEP,Member,6/9/2022,4,0,6/13/2022 13:58
151215,4610,PRO-137-ADT-001,194,RnD,Member,2/17/2022,4,0,6/13/2022 13:58
151216,4611,PRO-137-ADT-001,194,RnD,Member,2/16/2022,8,0,6/13/2022 13:58
151217,4612,PRO-137-ADT-001,194,RnD,Member,2/17/2022,4,0,6/13/2022 13:58
151218,4612,PRO-137-ADT-001,194,RnD,Member,2/18/2022,3,0,6/13/2022 13:58
151219,4613,PRO-137-ADT-001,194,RnD,Member,3/4/2022,8,0,6/13/2022 13:58
151220,4613,PRO-137-ADT-001,194,RnD,Member,3/7/2022,8,0,6/13/2022 13:58
